pay;année;pays;energie;fertilit;espervie;mortinfa;croispop;dépeduc;scolprim;vaagricu;prodelec;engrais;ide;pibhab;irrigati;vaindust;vaservic;urbanisa;analphab;forêt;pêche;tranpair;co2
Algérie;2000;Algérie00;956,36;3,05;70,48;50;1,44;4,78;107,42;8,77;25412000000;120,46;-2,41;5450,37;6,84;59,74;31,49;57,15;66,71;3950;100275;12,6;2,94
Chypre;2000;Chypre00;3203,43;1,91;77,93;6;0,4;5,64;96,65;3,6;3370000000;1427,23;-0,07;17106,71;27,97;20,8;75,6;68,79;97,06;123;69360;43,1;8,48
Egypte;2000;Egypte00;725,63;3,28;67,82;38;1,9;4,67;96,64;7,34;75727000000;4465,55;-0,74;3546,61;100;33,06;50,24;42,13;57,27;34;724407;278,1;2,22
France;2000;France00;4370,66;1,88;78,86;4;0,46;5,77;104,98;2,8;5,36E+11;2247,72;0,01;25318,21;13,45;25,48;71,72;75,72;100;15012;890525;5224,3;6,15
Grèce;2000;Grèce00;2634,56;1,32;77,91;5;0,21;3,75;96,56;7,57;53425000000;1663,63;0,11;16657,06;37,65;21,81;70,62;60,1;97,16;2620;194698;129,8;8,49
Hongrie;2000;Hongrie00;2487,23;1,29;71,25;8;-0,44;4,92;101,62;4,3;35191000000;906,18;2,97;12622,56;4,58;33,1;62,6;63,99;99,32;1719;19987;50,9;5,4
Italie;2000;Italie00;2976,25;1,23;78,67;6;0,08;4,65;100,87;2,87;2,70E+11;2088,76;0;24936,16;24,25;29,04;68,08;67,22;98,42;6809;515674;1748,4;7,42
Jordanie;2000;Jordanie00;1061,8;3,66;71,52;28;3,05;4,6;98,55;2,27;7375000000;852,19;0,18;3920,8;18,8;25,34;72,39;78,7;89,81;70;1119;204;3,18
Maroc;2000;Maroc00;358,37;2,89;67,65;41;1,64;5,03;101,23;13,83;14153000000;419,09;-0,68;3482,33;13,41;31,93;54,24;55,46;48,84;8970;898495;62,5;1,27
Pologne;2000;Pologne00;2329,93;1,34;73,28;9;-0,03;5,05;99,54;3,57;1,43E+11;1132,07;0,04;9935,11;0,7;33,88;62,55;61,66;98,73;8732;254149;77,8;7,8
Portugal;2000;Portugal00;2429,71;1,51;75,65;6;0,33;5,76;121,23;3,67;43372000000;1100,5;-3,22;17309,79;24,03;30,38;65,95;53,04;92,16;3102;195108;225,5;5,91
Roumanie;2000;Roumanie00;1618,59;1,31;69,86;19;-0,1;3,52;98,78;12,51;51934000000;324,36;0,97;5715,07;31,11;36,38;51,11;54,6;98,13;6680;17099;12,2;3,85
Espagne;2000;Espagne00;3069,43;1,24;78,15;6;0,74;4,49;107,12;3,66;2,22E+11;1621,45;0,08;19964,75;20,06;30,23;66,11;76,26;97,63;16137;1357659;879,5;6,99
Syrie;2000;Syrie00;966,21;3,57;69,73;24;2,48;3,41;108,6;22,66;23946000000;804,71;2,13;3343,42;22,63;28,45;48,89;50,06;74,43;484;13369;20,8;3,35
Tunisie;2000;Tunisie00;828,63;2,08;72,1;22;1,14;6,84;112,9;12,36;10600000000;388,62;0,75;6272,73;7,62;28,56;59,08;62,77;71,01;676;97103;20,8;1,92
Turquie;2000;Turquie00;1149,33;2,36;69,58;38;1,69;3,46;91,85;15,36;1,25E+11;865,36;2,8;6246,93;16,87;25,29;59,35;64,74;86,5;20199;582379;374,8;3,29
Algérie;95;Algérie95;927,08;3,68;69,46;40;2,03;5,43;106,64;10,5;19715000000;61,71;8,65;4640,21;6,91;50,4;39,1;54,29;60,26;4061;106241;21;3,37
Chypre;95;Chypre95;2741,8;2,13;77,25;9;0,82;4,32;84,35;4,82;2473000000;2557,5;-1,94;13302,88;27,97;23,23;71,95;68,09;95,84;123;9772;36,2;7,01
